Compute_Cores,Data_Stored_TB,Network_Traffic_GB,Monthly_Cloud_Cost
25.2,202.9,1930.8,11464.92
60.9,242.0,1731.3,15009.77
47.4,428.7,963.2,8741.53
39.1,176.6,3075.6,24597.81
11.7,436.1,2435.5,15711.51
11.7,53.2,4341.9,40575.29
5.6,390.6,257.3,2631.65
55.7,425.3,3255.0,30460.75
39.3,99.1,3838.4,34769.56
45.9,220.9,3821.5,36455.69
3.3,91.1,4441.8,42360.91
62.1,356.2,3672.3,37857.98
53.6,272.3,4646.3,52862.69
15.2,321.3,1730.0,9281.87
13.3,106.3,2565.7,15809.43
13.4,113.8,169.0,1152.11
20.9,30.3,134.1,1666.82
34.5,167.8,1276.6,7234.98
28.8,284.3,594.0,4409.87
20.1,430.4,1375.0,7748.19
39.9,336.8,967.5,7639.02
10.6,223.3,239.7,1557.12
20.1,477.0,4555.6,46757.99
24.7,362.4,140.3,3428.8
30.3,465.8,3706.8,33910.72
50.7,268.5,845.5,8249.69
14.4,136.9,4569.9,45793.52
33.9,35.9,4474.7,45121.69
38.7,365.8,3304.1,28348.94
4.9,69.4,3393.9,24783.89
39.7,158.4,126.2,4131.04
12.6,270.9,4925.9,53241.43
6.0,286.6,4401.4,42605.05
60.8,304.3,4486.0,50937.5
61.9,91.5,3330.3,31538.67
52.1,196.1,1789.5,13292.82
20.9,312.4,4478.9,45300.14
8.1,485.2,1528.4,8680.22
44.4,366.5,2857.3,23544.79
29.3,462.1,588.7,5038.14
9.6,383.5,4617.6,47332.3
32.7,299.9,789.8,4994.04
4.1,104.1,1202.0,4353.51
58.4,336.7,2834.9,25716.23
18.0,315.5,3844.1,34471.03
43.1,305.2,3134.8,26494.06
21.3,250.0,1237.5,6292.15
34.2,269.0,104.6,3797.97
35.9,173.9,3810.0,34518.78
13.5,264.5,4927.5,52656.62
62.1,106.8,4068.6,42805.75
50.1,404.5,2355.0,19125.93
60.2,101.0,4528.5,50657.96
57.5,51.6,2108.3,16301.25
39.1,223.8,2672.2,19977.86
59.2,332.6,2437.9,21267.85
7.5,224.5,2293.4,13088.99
14.2,145.6,3898.4,33826.34
4.8,283.5,2681.2,17426.25
22.2,180.0,1651.9,8704.75
26.1,467.1,1365.0,8407.78
18.8,462.1,285.0,3585.86
53.4,256.2,2957.7,25701.95
24.1,170.7,1226.8,5803.13
19.4,371.2,825.9,4646.95
35.6,28.0,3303.8,26898.39
10.7,242.6,3437.9,26880.32
51.7,174.8,3785.6,36557.7
6.6,461.1,2567.5,17024.81
63.2,15.9,4480.9,49817.03
49.9,280.9,4688.1,52501.29
14.3,372.9,4056.1,37610.69
2.3,247.7,3214.4,23287.87
52.6,51.8,1588.2,11702.4
45.8,486.5,4916.4,57607.88
47.2,263.8,1443.3,10331.59
49.8,311.0,1093.0,8792.62
6.6,125.9,2266.6,12140.22
24.2,246.9,378.5,3164.48
9.2,220.3,4894.6,52568.66
55.5,46.7,2983.3,25544.11
40.6,62.0,2829.1,20720.8
22.5,420.4,3313.4,26904.1
5.9,127.5,2535.4,15070.38
21.3,105.5,257.1,2106.77
22.2,257.4,3100.3,23062.46
47.2,386.7,3609.3,34199.22
41.5,40.4,2142.1,13837.83
57.0,292.6,3810.7,38301.09
31.3,68.4,1212.3,6195.44
9.4,27.9,1184.3,4201.1
46.2,35.8,890.9,6701.53
49.2,418.7,1922.8,15352.52
36.8,67.8,4250.4,41388.23
49.8,32.1,4156.8,41841.16
32.6,224.6,1975.8,12393.86
34.4,423.6,2986.7,24099.35
28.5,138.6,3632.0,30678.0
3.6,216.6,1281.9,5127.24
8.7,29.6,923.9,2772.42
3.9,230.0,4863.3,51747.0
41.5,293.0,3126.0,26204.84
21.5,289.7,4908.9,53218.26
33.5,172.9,1755.0,10201.09
58.3,164.6,3544.9,34012.86
17.5,62.2,1190.8,5242.93
27.4,189.7,1379.9,7175.54
48.8,58.8,2608.3,20136.82
16.2,385.6,1666.1,9085.88
6.8,483.5,921.3,4995.36
20.0,485.3,1388.1,8319.57
12.0,433.9,275.2,2921.23
59.6,304.4,3551.7,35044.75
52.1,353.4,2511.4,21315.72
41.3,149.8,561.8,5437.38
56.0,319.1,941.3,10015.55
51.8,233.3,602.4,7605.9
13.6,246.2,3101.7,22835.29
57.3,381.3,561.6,9551.03
35.4,148.1,3796.0,34211.34
52.1,165.8,200.5,6410.96
57.6,463.1,1321.9,12379.15
21.7,37.5,4464.3,43364.71
8.8,248.0,3620.8,29413.67
16.1,457.3,457.5,4115.35
28.5,309.1,4123.5,38912.15
52.7,277.7,2515.9,20578.23
55.4,132.4,4249.2,44005.37
2.4,178.2,3043.6,20939.81
33.7,427.5,3441.0,29939.44
27.9,284.0,4968.2,55489.05
15.8,262.2,1238.4,5935.47
9.4,58.8,3157.3,22073.93
22.9,17.9,2355.6,14028.48
60.5,482.2,293.3,9576.61
22.0,194.7,170.9,2446.2
34.2,305.6,684.2,5089.8
45.6,49.1,3280.5,27341.11
24.5,344.7,2879.1,21079.92
62.3,467.0,2811.8,26772.49
61.7,292.1,256.1,8827.61
17.6,71.8,2399.6,14428.22
32.8,295.0,4630.7,49195.92
20.7,385.5,2048.2,11868.01
19.7,209.1,3162.1,23813.43
4.3,441.1,3921.1,34817.19
39.8,327.9,3941.2,37756.13
33.2,450.6,2644.5,19822.13
5.2,315.5,4304.0,40906.22
19.3,74.3,2017.8,10272.27
58.3,161.7,4454.6,49190.55
16.9,108.9,1277.1,5005.37
11.0,455.3,1473.1,7992.76
32.3,382.6,360.3,5278.31
63.1,341.4,3998.4,42734.21
17.0,157.5,2143.6,11901.84
43.7,100.2,1222.7,7355.6
49.2,380.7,1235.8,10268.61
16.7,242.3,4516.9,45339.53
47.1,120.6,4186.2,42352.42
24.8,312.1,2812.3,20373.09
41.2,29.8,3118.9,24906.8
41.3,169.8,2424.2,17982.67
35.2,239.6,2019.2,13504.51
7.6,82.5,4585.8,45023.14
53.8,492.5,715.5,9046.89
21.9,112.5,2150.4,12090.71
13.6,73.9,1788.4,8120.47
4.5,109.7,2540.9,15116.02
38.6,386.8,2342.4,16945.48
44.0,218.5,2642.6,20297.16
3.0,287.1,785.6,3496.24
33.7,20.3,2614.4,17587.17
16.0,26.9,1287.9,4715.74
42.0,228.5,1003.2,7586.61
12.8,410.2,417.7,2791.22
44.8,443.8,3837.0,37562.94
26.0,52.5,2194.5,12662.41
60.1,273.8,3170.6,29828.53
10.5,457.5,3665.2,31559.36
23.1,200.1,3428.7,27795.31
9.0,416.5,2405.5,15301.89
59.3,75.5,2000.7,15908.39
56.4,468.3,1942.2,16803.73
18.0,378.2,3236.2,25298.15
42.9,471.3,2524.5,20332.97
52.7,341.5,4260.7,45348.6
36.4,188.1,4386.0,44688.08
34.8,469.7,935.7,7239.74
17.0,145.0,767.5,3079.98
7.8,172.8,3189.0,23347.96
57.6,353.4,1576.0,13624.63
57.8,385.0,191.0,8575.3
41.3,465.4,4454.3,47817.52
23.0,110.4,1211.8,5350.84
23.7,401.0,4653.5,49235.73
47.0,371.9,3615.4,34351.44
57.6,41.3,3837.0,38142.01
57.0,199.7,1087.2,10311.03
50.4,148.6,1247.6,9562.22
41.8,159.2,2654.2,19538.62
7.2,491.6,943.3,5694.05
12.0,325.0,1596.6,7777.74
57.7,361.7,1675.2,14795.5
39.6,488.5,882.2,7842.18
2.6,194.8,1105.4,3888.42
8.3,402.9,3963.9,35809.4
43.1,222.9,919.3,7048.58
2.3,436.1,239.4,2945.44
12.0,98.5,3183.8,22784.19
36.0,474.4,4882.3,55238.3
44.9,117.2,1722.9,10872.17
42.4,169.8,681.4,6250.1
15.9,380.5,2894.9,20690.9
46.2,202.9,4541.1,48879.37
16.7,308.0,3941.9,35465.91
22.2,227.8,3150.3,23870.08
48.3,373.8,1643.8,12909.61
42.3,121.9,2755.2,21263.82
54.7,38.6,547.1,6851.56
42.8,157.0,3426.8,29897.98
37.2,242.4,3653.0,32783.54
7.8,92.3,4828.7,50159.78
24.8,183.9,1375.9,6846.37
18.4,206.0,190.4,2495.6
17.1,38.1,2773.5,18171.94
62.3,295.8,3563.3,36148.66
26.4,443.3,3973.0,37328.18
57.3,84.4,1049.3,9328.75
41.1,302.9,1382.6,9599.1
51.3,335.7,2611.7,21403.42
33.2,215.5,1719.9,10715.48
37.8,353.5,4316.5,44232.32
32.5,211.3,2421.4,16453.2
14.1,257.3,4017.9,36169.22
46.8,13.6,2945.0,22925.38
19.4,348.9,3888.1,34876.23
3.5,334.1,1730.1,8815.22
42.0,28.8,4173.9,40881.8
13.0,190.4,1445.4,6556.12
60.3,489.7,2775.9,26146.15
61.1,216.2,1148.6,11190.27
58.7,256.0,2430.1,20926.22
24.9,455.9,1659.1,10567.26
3.0,361.5,1406.8,6867.64
59.6,295.2,4838.2,57575.89
28.5,400.9,884.4,6027.88
61.9,433.5,3957.9,42242.87
61.7,233.9,4922.4,58933.07
54.9,242.8,197.5,7271.06
20.3,199.2,3525.2,28780.83
25.9,483.7,1339.3,8457.18
54.8,351.6,298.4,8249.55
21.6,50.8,2074.2,11362.77
12.5,432.9,4682.6,49308.0
36.5,245.5,157.6,4260.76
60.0,43.7,2980.6,26033.71
45.2,279.4,2556.8,19847.03
